Adam McKay	b8c07ae3-6fdc-e8bc-ee1f-d9dc1aa75fc6
George Miller	8b6c988c-37b6-b34c-d918-db980972b83f
Alejandro G. Iñárritu	ba261cae-0982-3402-f8d2-428fd1f90847
Lenny Abrahamson	73ddb1b4-1d13-4718-9645-7557923a2556
Tom McCarthy	d11bd101-d64e-d270-b737-e3e7a83b29b8
Bryan Cranston	8aeed1a2-348c-7c41-39d9-3845e15d2abe
Matt Damon	c0eec860-975d-200e-8592-3749e58012d2
Leonardo DiCaprio	5f2c4ac2-d77a-474e-4580-c76549d4fce5
Michael Fassbender	79fbd917-20de-9c02-8d12-ee410b27800d
Eddie Redmayne	be94871b-bede-21d9-33ef-d11e306479a8
Cate Blanchett	b3e8557a-348a-1477-567c-977d45fcb78c
Brie Larson	35693c73-7f87-5419-329e-42ab7bbc29a0
Jennifer Lawrence	c26c60a8-344b-8282-0591-4ff131f2aa46
Charlotte Rampling	6faf859e-248b-fb4e-a30e-a0592e642b8c
Saoirse Ronan	8702c926-ae37-d9a1-e4f1-16aa518088b2
Christian Bale	6af75570-fda7-9b02-a709-1d210e5df8b2
Tom Hardy	b5fe3f11-6f08-c732-dc16-d11c756dfd6b
Mark Ruffalo	f0d00d63-ecf7-79c2-4670-f4181c68026a
Mark Rylance	bbeb6fea-ad4d-9d7d-7adf-7226ba92c898
Sylvester Stallone	b02d3a12-c8e7-2b68-24c4-eb061803d63a
Jennifer Jason Leigh	b736eb27-d956-6ecc-0061-6954ccd5d142
Rooney Mara	f4ed2863-429f-69a7-6d46-bf8f8a4ec38b
Rachel McAdams	d816e643-d5a7-5ace-8151-aed22f51e892
Alicia Vikander	e015eef7-2bf7-f4b0-b59f-a21ebe090585
Kate Winslet	8f5a2c78-c839-ee3d-b9e1-3f26e13b6999
